annotation_index,index,sentence,label,gender,aashka
132,4157,is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his Halloween trip to the Haunted House .,0.08,masc
133,5936,"For all the time we spend with these people , we never really get inside of them .",0.39,neut
134,3104,"One of the pleasures in Walter 's documentary ... is the parade of veteran painters , confounded dealers , and miscellaneous bohos who expound upon the subject 's mysterious personality without ever explaining him .",0.56,masc
135,185,"Maud and Roland 's search for an unknowable past makes for a haunting literary detective story , but LaBute pulls off a neater trick in Possession : He makes language sexy .",0.83,masc
136,339,It made me want to get made-up and go see this movie with my sisters .,0.72,femm
137,5949,The Sweetest Thing is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance .,0.06,neut
138,392,"With each of her three protagonists , Miller eloquently captures the moment when a woman 's life , out of a deep-seated , emotional need , is about to turn onto a different path .",0.83,femm
139,5634,"Well , they 're ` they ' .",0.50,neut
140,2610,"The word that comes to mind , while watching Eric Rohmer 's tribute to a courageous Scottish lady , is painterly .",0.72,femm
141,4941,"White has n't developed characters so much as caricatures , one-dimensional buffoons that get him a few laughs but nothing else .",0.29,masc
142,721,Maintains your sympathy for this otherwise challenging soul by letting you share her one-room world for a while .,0.72,femm
143,5243,"There is something in Full Frontal , I guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but like most movie riddles , it works only if you have an interest in the characters you see .",0.36,neut
144,2586,"Niccol the filmmaker merges his collaborators ' symbolic images with his words , insinuating , for example , that in Hollywood , only God speaks to the press",0.68,masc
145,4725,"They were afraid to show this movie to reviewers before its opening , afraid of the bad reviews they thought they 'd earn .",0.14,neut
146,5112,Producer John Penotti surveyed high school students ... and came back with the astonishing revelation that `` they wanted to see something that did n't talk down to them . '',0.62,neut
147,3106,He 's the scariest guy you 'll see all summer .,0.74,masc
148,1248,Director Douglas McGrath takes on Nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .,0.07,masc
149,6699,"Writer-director Walter Hill and co-writer David Giler try to create characters out of the obvious cliches , but wind up using them as punching bags .",0.22,neut
150,290,The Son 's Room is a triumph of gentility that earns its moments of pathos .,0.68,masc
151,2178,Like other great documentaries ... this goes after one truth ( the Ford administration 's complicity in tearing ` orphans ' from their mothers ) and stumbles upon others even more compelling .,0.53,femm
152,1995,"A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil , monstrous lunatic .",0.89,masc
153,4153,"Takes one character we do n't like and another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny .",0.60,neut
154,5824,The Balkans provide the obstacle course for the love of a good woman .,0.56,femm
155,6732,"In old-fashioned screenwriting parlance , Ms. Shreve 's novel proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast .",0.31,femm
156,3543,"A heady , biting , be-bop ride through nighttime Manhattan , a loquacious videologue of the modern male and the lengths to which he 'll go to weave a protective cocoon around his own ego .",0.65,masc
157,7009,"Richard Pryor mined his personal horrors and came up with a treasure chest of material , but Lawrence gives us mostly fool 's gold .",0.28,masc
158,75,Some movies blend together as they become distant memories .,0.44,neut
159,1516,"Birthday Girl does n't try to surprise us with plot twists , but rather seems to enjoy its own transparency .",0.69,femm
160,2158,"Parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults .",0.89,neut
161,398,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands .,1.00,masc
162,4590,"A few nonbelievers may rethink their attitudes when they see the joy the characters take in this creed , but skeptics are n't likely to enter the theater .",0.69,neut
163,2723,"Though it never rises to its full potential as a film , still offers a great deal of insight into the female condition and the timeless danger of emotions repressed .",0.56,femm
164,571,"( T ) here 's only so much anyone can do with a florid , overplotted , Anne Rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them .",0.07,neut
165,582,"Not only a reminder of how they used to make movies , but also how they sometimes still can be made .",0.74,neut
